,0.5,0.6,0.7,0.8,0.9,1
931,6549.119279,,,,,40.22674754
932,,2906.454727,,,,
933,,,,,,
934,,,,429.0165703,,40.22674754
935,,,,,,40.22674754
936,,,,,,
937,,,2535.361538,,,40.22674754
938,,,,,,
939,,,,,,
940,,,,,,38.70707153
941,,,,,,38.70707153
942,,,,,,38.70707153
943,,,,,,
944,,,,,160.3222558,
945,,,,,,38.70707153
946,,,,,,38.70707153
947,,,,,,
948,,,,,,
949,,,,,,38.70707153
950,,,,429.0165703,,38.70707153
951,,,,,,
952,,,,,,
953,,,,,,
954,,3655.658271,,,,38.70707153
955,3013.283637,,,,,
956,,,,,,
957,,,2535.361538,,,
958,,,,,,38.70707153
959,,,,,,38.70707153
960,,,,,,38.70707153
961,,,,,130.282516,
962,,,,,,
963,,,,,,38.70707153
964,,,,,,
965,,,,,,38.70707153
966,,,,429.0165703,,
967,,,,,,38.70707153
968,,,,,,38.70707153
969,,,,,,38.70707153
970,,,,,130.282516,
971,,,,,,
972,,,,,,
973,,6140.529012,,,,38.70707153
974,,,,,,38.70707153
975,11809.33984,,,,,
976,,,,,,
977,,,,,,38.70707153
978,,,2535.361538,,,
979,,,,,,
980,,,,,,38.70707153
981,,,,,,38.70707153
982,,,,,,
983,,,,,,36.10690497
984,,,,,130.282516,
985,,,,285.3483075,,
986,,,,,,36.10690497
987,,,,,,
988,,,,,,36.10690497
989,,,,,,
990,,,,,,
991,,,,,,36.10690497
992,11487.93626,,,,,36.10690497
993,,6077.310642,,,,
994,,,,,,
995,,,2163.43649,,,
996,,,,,,
997,,,,,130.282516,36.10690497
998,,,,,,
999,,,,,,
1000,,,,,,
1001,,,,,,36.10690497
1002,,,,,,
1003,,,,,,
1004,,,,,,
1005,,,,,,31.94359624
1006,,,,,,
1007,,,,285.3483075,,
1008,,,,,,31.94359624
1009,,,,,,
1010,,,,,,31.94359624
1011,,,2149.51424,,102.3630347,31.94359624
1012,10685.39841,7392.145012,,,,31.94359624
1013,,,,,,27.76754117
1014,,,,,,
1015,,,,,,27.76754117
1016,,,,,,
1017,,,,,,27.76754117
1018,,,,,,
1019,,,,,,
1020,,,,,,27.76754117
1021,,,,,,27.76754117
1022,,,,,,
1023,,,,,,
1024,,,,,,27.76754117
1025,,,,,102.3630347,27.76754117
1026,,,3021.930651,468.2099588,,27.76754117
1027,,,,,,
1028,,,,,,
1029,,,,,,27.76754117
1030,,3547.944069,,,,
1031,,,,,,27.76754117
1032,,,,,,
1033,,,,,,
1034,6134.990191,,,,,27.76754117
1035,,,,,,27.76754117
1036,,,,,,27.76754117
1037,,,,,,
1038,,,,,102.3630347,27.76754117
1039,,,,,,
1040,,,,,,27.76754117
1041,,,,,,
1042,,,,468.2099588,,27.76754117
1043,,,3021.930651,,,27.76754117
1044,,,,,,
1045,,,,,,27.76754117
1046,,,,,,27.76754117
1047,,,,,,25.20415817
1048,,,,,,25.20415817
1049,,,,,,
1050,,,,,102.3630347,25.20415817
1051,,,,,,25.20415817
1052,5124.203372,3381.263794,,,,
1053,,,,,,
1054,,,,468.2099588,,
1055,,,,,,21.0473997
1056,,,,,,
1057,,,,,,21.0473997
1058,,,,,,21.0473997
1059,,,,,,
1060,,,,,,21.0473997
1061,,,,,,21.0473997
1062,,,,,,21.0473997
1063,,,2341.749275,,,21.0473997
1064,,,,,102.3630347,21.0473997
1065,,,,,,21.0473997
1066,,,,,,
1067,,,,,,
1068,,,,,,21.0473997
1069,,3547.944069,,554.0335633,,
1070,,,,,,
1071,,,,,,21.0473997
1072,,,,,,21.0473997
1073,,,,,,21.0473997
1074,5124.203372,,,,,
1075,,,,,,21.0473997
1076,,,,,,
1077,,,,,102.3630347,
1078,,,,,,
1079,,,,,,21.0473997
1080,,,,,,
1081,,,,,,21.0473997
1082,,,,,,21.0473997
1083,,,,,,
1084,,,2445.857518,,,15.78920279
1085,,,,,,15.78920279
1086,,,,,,15.78920279
1087,,,,,,15.78920279
1088,,,,554.0335633,,
1089,10287.4332,,,,,15.78920279
1090,,,,,,15.78920279
1091,,,,,,15.78920279
1092,,,,,102.3630347,
1093,,3586.121388,,,,15.78920279
1094,,,,,,15.78920279
1095,,,,,,15.78920279
1096,,,,,,15.78920279
1097,,,,,,
1098,,,,,,
1099,,,,,,
1100,,,,,,15.78920279
1101,,,,,102.3630347,15.78920279
1102,,,2445.857518,554.0335633,,
1103,,,,,,15.78920279
1104,,,,,,15.78920279
1105,,,,,,15.78920279
1106,,,,,,
